CODIGO DANE,DEPARTAMENTO,MUNICIPIO,POBLACION TOTAL,HOMICIDIO TOTAL,TASA MUNICIPAL
11001,"Bogotá, D.C.","Bogotá, D.C.",7918660,1214,15.330876688732689
76001,Valle del Cauca,Cali,2280171,950,41.66354190102409
08001,Atlántico,Barranquilla,1279120,493,38.54212270936269
13001,Bolívar,Cartagena de Indias,1010408,381,37.707539924466154
05001,Antioquia,Medellín,2524747,309,12.238850070917998
54001,Norte de Santander,San José de Cúcuta,790984,291,36.78961900619987
08758,Atlántico,Soledad,710269,248,34.91634859468736
47001,Magdalena,Santa Marta,574486,198,34.465591850802284
25754,Cundinamarca,Soacha,842579,181,21.481665220709274
68081,Santander,Barrancabermeja,226559,162,71.50455289792063
76520,Valle del Cauca,Palmira,378446,151,39.90001215497059
66001,Risaralda,Pereira,486042,149,30.655786948453017
27001,Chocó,Quibdó,140076,143,102.08743824780832
68001,Santander,Bucaramanga,615463,131,21.284788850020227
19698,Cauca,Santander de Quilichao,126198,127,100.6355092790694
20001,Cesar,Valledupar,601259,123,20.457074239221367
50001,Meta,Villavicencio,579176,122,21.064408746218763
76364,Valle del Cauca,Jamundí,189878,119,62.671820853390074
44001,La Guajira,Riohacha,209292,113,53.991552472144186
76147,Valle del Cauca,Cartago,142792,107,74.93416998151157
47189,Magdalena,Ciénaga,136851,96,70.14928645022688
76834,Valle del Cauca,Tuluá,224250,92,41.02564102564102
76111,Valle del Cauca,Guadalajara de Buga,132138,85,64.32668876477622
41001,Huila,Neiva,396442,83,20.93622774579888
76109,Valle del Cauca,Buenaventura,328686,79,24.035097326932085
08433,Atlántico,Malambo,149019,77,51.6712633959428
73001,Tolima,Ibagué,552035,77,13.948390953472153
47980,Magdalena,Zona Bananera,79037,76,96.15749585637107
05154,Antioquia,Caucasia,93572,75,80.15218227674946
23001,Córdoba,Montería,563597,72,12.77508574389147
41551,Huila,Pitalito,140776,71,50.434733193157925
63001,Quindío,Armenia,305676,69,22.572920347034113
81794,Arauca,Tame,46068,65,141.0957714682643
19001,Cauca,Popayán,348444,60,17.219409718634846
52835,Nariño,San Andrés de Tumaco,272306,58,21.299567398441457
76130,Valle del Cauca,Candelaria,110619,57,51.528218479646355
70001,Sucre,Sincelejo,319888,57,17.818736557795226
66170,Risaralda,Dosquebradas,240061,55,22.91084349394529
19050,Cauca,Argelia,27464,55,200.26216137489075
76563,Valle del Cauca,Pradera,49776,53,106.47701703632272
54874,Norte de Santander,Villa del Rosario,123460,52,42.11890490847238
76275,Valle del Cauca,Florida,57543,52,90.36720365639609
05604,Antioquia,Remedios,32457,50,154.04997381150443
05088,Antioquia,Bello,593344,50,8.426814798835077
81065,Arauca,Arauquita,53319,47,88.14868996042686
68276,Santander,Floridablanca,312530,46,14.718587015646499
05736,Antioquia,Segovia,39116,45,115.04243787708354
76892,Valle del Cauca,Yumbo,114676,44,38.36896996756078
19532,Cauca,Patía,38915,44,113.06694076834125
19573,Cauca,Puerto Tejada,43471,44,101.21690322283821
